N mushrooms,seconds,accuracy,,N Iris,seconds,accuracy,,N Diab,seconds,accuracy,,,N Diab,seconds,accuracy,,N Iris,seconds,accuracy
500,0.0045,1,,500,0.004,0.85,,500,0.0092,0.91,,,500,0.0045,0.91,,500,0.003,0.85
1000,0.005,1,,1000,0.003,0.925,,1000,0.0065,0.955,,,1000,0.0065,0.955,,1000,0.004,0.925
1500,0.0055,1,,1500,0.0042,0.9167,,1500,0.0077,0.9333,,,2000,0.008,0.9325,,2000,0.0065,0.9425
2000,0.0085,1,,2000,0.004,0.9425,,2000,0.0075,0.9325,,,5000,0.0198,0.965,,5000,0.0105,0.905
2500,0.0126,1,,2500,0.0051,0.912,,2500,0.0127,0.944,,,10000,0.0363,0.956,,10000,0.0165,0.902
3000,0.0155,1,,3000,0.0075,0.9,,3000,0.0125,0.965,,,15000,0.0535,0.9473,,15000,0.0289,0.909
3500,0.0179,1,,3500,0.0055,0.9057,,3500,0.0151,0.9429,,,20000,0.0724,0.9573,,20000,0.0327,0.9085
4000,0.0141,1,,4000,0.012,0.9075,,4000,0.0172,0.9387,,,30000,0.1262,0.9563,,30000,0.0783,0.9068
4500,0.0221,0.9989,,4500,0.0085,0.8956,,4500,0.0177,0.96,,,40000,0.1866,0.949,,40000,0.0716,0.9103
5000,0.0186,1,,5000,0.0077,0.905,,5000,0.0216,0.965,,,50000,0.2864,0.9502,,50000,0.0943,0.9153
5500,0.017,1,,5500,0.0105,0.9082,,5500,0.0219,0.9482,,,60000,0.3175,0.9513,,60000,0.1229,0.9111
6000,0.0202,1,,6000,0.0086,0.9008,,6000,0.0281,0.9475,,,70000,0.4056,0.9523,,70000,0.1259,0.9086
6500,0.0333,1,,6500,0.0122,0.9154,,6500,0.0309,0.9538,,,80000,0.5502,0.952,,80000,0.1494,0.9104
7000,0.0347,0.9979,,7000,0.0125,0.8971,,7000,0.0363,0.945,,,90000,0.6943,0.9521,,90000,0.1741,0.9067
7500,0.034,1,,7500,0.0138,0.8973,,7500,0.0321,0.9453,,,100000,0.8698,0.9543,,100000,0.1987,0.9136
8000,0.0411,1,,8000,0.0129,0.8938,,8000,0.0354,0.9563,,,,,,,,,
