Sample Size,Accuracy,Time (s)
500,0.91,0.008024215698242188
1000,0.955,0.0065386295318603516
2000,0.9325,0.009040117263793945
5000,0.965,0.02307295799255371
10000,0.956,0.038570404052734375
15000,0.9473333333333334,0.059824228286743164
20000,0.95725,0.08163928985595703
30000,0.9563333333333334,0.1383068561553955
40000,0.949,0.21651434898376465
50000,0.9502,0.280423641204834
60000,0.95125,0.36870813369750977
70000,0.9522857142857143,0.44289088249206543
80000,0.952,0.5819616317749023
90000,0.9521111111111111,0.7344512939453125
100000,0.95425,0.8797826766967773
